City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
578,Teknaf,BD,75.09,20.8624,92.3058,Forestry Guesthouse
579,Manat,PH,75.81,7.5327,126.0173,Junora Inland Resort
582,Meulaboh,ID,76.3,4.1363,96.1285,Kost Pria
584,Nhulunbuy,AU,84.81,-12.2333,136.7667,East Arnhem Real Estate
585,Kaeo,NZ,78.33,-35.1,173.7833,Bushido Lodge
586,Ciudad Bolivar,VE,81.48,8.1222,-63.5497,Hotel Edi
588,Temamatla,MX,70.72,19.2,-98.8833,DOMICILIO
590,Mlonggo,ID,76.89,-6.5333,110.7,Asia Metal Art
591,Labuhan,ID,79.41,-6.8844,112.2051,PT PPI Lamongan Tambak C
597,San Cristobal,VE,75.38,7.7669,-72.225,Posada Villaven C.A.
598,Manokwari,ID,83.16,-0.8667,134.0833,Swiss Belhotel Manokwari
600,Pitimbu,BR,79.39,-7.4706,-34.8086,Reserva do Abiaí
601,Sal Rei,CV,72.16,16.1833,-22.9167,Marine Club Beach Resort
603,Riberalta,BO,75.4,-10.9833,-66.1,Hotel Colonial
611,Tecoanapa,MX,80.46,16.5167,-98.75,Hotel Manglares
614,Cape Canaveral,US,73.08,28.4058,-80.6048,Residence Inn by Marriott Cape Canaveral Cocoa Beach
617,Muli,MV,82.71,2.9167,73.5667,Medhufushi Island Resort
619,Gawler,AU,80.6,-34.6,138.7333,Eagle Foundry Bed & Breakfast
620,Barauna,BR,85.1,-5.08,-37.6167,Pousada Rancho do Sabiá
622,Puerto El Triunfo,SV,79.63,13.2833,-88.55,Hotel Jardin
623,Puerto Escondido,MX,80.35,15.85,-97.0667,Aldea del Bazar Hotel and Spa
624,Bima,ID,77.27,-8.4667,118.7167,Lambitu Hotel
625,Les Cayes,HT,76.8,18.2,-73.75,Villa Orphee
630,Praia,CV,72.14,14.9215,-23.5087,LT Aparthotel
632,Ormara,PK,71.17,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
633,Bocaiuva,BR,78.51,-17.1078,-43.815,Hotel Maxim's
635,Tsiroanomandidy,MG,70.81,-18.7667,46.0333,Hotel du Bongolave
636,Broken Hill,AU,76.71,-31.95,141.4333,Royal Exchange Hotel
637,Ondjiva,AO,72.28,-17.0667,15.7333,COMBUESA
639,Boa Vista,BR,84.18,2.8197,-60.6733,Aipana Plaza Hotel
644,Laureles,US,78.84,26.1092,-97.4941,Los Fresnos Inn
645,Tabou,CI,79.86,4.423,-7.3528,hotêl doufoulougou
646,Montanhas,BR,81.95,-6.4858,-35.2875,Pousada Maria Salete
647,Ambilobe,MG,74.37,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
650,Eyl,SO,74.03,7.9803,49.8164,Amiin Hotel
653,Madras,IN,80.58,13.0878,80.2785,City home
655,Gemena,CD,71.17,3.25,19.7667,Hôtel Goshen
656,Padang,ID,73.45,-0.9492,100.3543,Mercure Padang
661,Warri,NG,78.31,5.5167,5.75,BON Hotel Delta
662,Quixada,BR,80.98,-4.9714,-39.0153,Hotel Vale das Pedras
666,Jardim,BR,79.45,-21.4803,-56.1381,Estancia Hotel - Jardim MS
668,Kodinar,IN,70.97,20.7903,70.7031,residency of N.B vadhel
674,Makakilo City,US,73.62,21.3469,-158.0858,Marriott's Ko Olina Beach Club
675,Gizo,SB,83.68,-8.103,156.8419,Imagination Island
683,Poso,ID,82.33,-1.3959,120.7524,Hotel 77 Poso
690,Pamekasan,ID,78.1,-7.1568,113.4746,OYO 3027 Griya Temenggungan Syariah
692,Port-Gentil,GA,80.56,-0.7193,8.7815,Fengshui Residence
695,Catuday,PH,74.91,16.2923,119.8062,Benjie's Kubo & Cottages
696,Kirakira,SB,81.81,-10.4544,161.9205,SanBiz Lodge
698,Pederneiras,BR,78.58,-22.3517,-48.775,Hotel Trevise - Pederneiras
703,Kimbe,PG,88.52,-5.5502,150.1429,Kimbe Bay Hotel
704,Chalmette,US,73.99,29.9427,-89.9634,Marina Inn & Suites Chalmette-New Orleans
710,Quelimane,MZ,80.55,-17.8786,36.8883,Hotel Flamingo
